way,acc_mean,acc_std,learning_rate,n_estimators
l_ts10_0.85,0.852309,0.063757,0.5,220.0
l_ts10_0.85,0.852061,0.062597,1.0,40.0
l_ts10_0.85,0.850992,0.06307,1.0,60.0
l_ts10_0.85,0.852045,0.062687,1.0,80.0
l_ts10_0.85,0.851193,0.062603,1.0,100.0
l_ts10_0.85,0.85172,0.062533,1.0,120.0
l_ts10_0.85,0.851116,0.062403,1.0,140.0
l_ts10_0.85,0.85189,0.062298,1.0,160.0
l_ts10_0.85,0.851751,0.062552,1.0,180.0
l_ts10_0.85,0.851782,0.062763,1.0,200.0
l_ts10_0.85,0.851797,0.06253,1.0,220.0
l_fold5_0.85,0.851086,0.017632,0.001,40.0
l_fold5_0.85,0.850988,0.017737,0.001,60.0
l_fold5_0.85,0.850607,0.017745,0.001,80.0
l_fold5_0.85,0.85165,0.018081,0.001,100.0
l_fold5_0.85,0.851382,0.018237,0.001,120.0
l_fold5_0.85,0.851396,0.01823,0.001,140.0
l_fold5_0.85,0.851565,0.018294,0.001,160.0
l_fold5_0.85,0.851931,0.018038,0.001,180.0
l_fold5_0.85,0.853847,0.019753,0.001,200.0
l_fold5_0.85,0.854509,0.019149,0.001,220.0
l_fold5_0.85,0.853903,0.019803,0.005,40.0
l_fold5_0.85,0.853917,0.027873,0.005,60.0
l_fold5_0.85,0.850959,0.033446,0.005,80.0
l_fold5_0.85,0.849382,0.034798,0.005,100.0
l_fold5_0.85,0.848621,0.03774,0.005,120.0
l_fold5_0.85,0.848072,0.035454,0.005,140.0
l_fold5_0.85,0.847861,0.034823,0.005,160.0
l_fold5_0.85,0.849678,0.0349,0.005,180.0
l_fold5_0.85,0.849368,0.034063,0.005,200.0
l_fold5_0.85,0.849368,0.033648,0.005,220.0
l_fold5_0.85,0.850678,0.034333,0.01,40.0
l_fold5_0.85,0.848382,0.035549,0.01,60.0
l_fold5_0.85,0.848368,0.035074,0.01,80.0
l_fold5_0.85,0.849678,0.033672,0.01,100.0
l_fold5_0.85,0.848579,0.034473,0.01,120.0
l_fold5_0.85,0.848748,0.035562,0.01,140.0
l_fold5_0.85,0.84772,0.036354,0.01,160.0
l_fold5_0.85,0.846213,0.036329,0.01,180.0
l_fold5_0.85,0.844621,0.03933,0.01,200.0
l_fold5_0.85,0.843269,0.039135,0.01,220.0
l_fold5_0.85,0.846663,0.039975,0.05,40.0
l_fold5_0.85,0.843832,0.041828,0.05,60.0
l_fold5_0.85,0.845734,0.041744,0.05,80.0
l_fold5_0.85,0.846269,0.042743,0.05,100.0
l_fold5_0.85,0.845044,0.04235,0.05,120.0
l_fold5_0.85,0.843241,0.04133,0.05,140.0
l_fold5_0.85,0.843508,0.040614,0.05,160.0
l_fold5_0.85,0.843297,0.040552,0.05,180.0
l_fold5_0.85,0.842987,0.040767,0.05,200.0
l_fold5_0.85,0.84217,0.039941,0.05,220.0
l_fold5_0.85,0.840551,0.040302,0.1,40.0
l_fold5_0.85,0.842213,0.041863,0.1,60.0
l_fold5_0.85,0.842058,0.039029,0.1,80.0
l_fold5_0.85,0.841297,0.03975,0.1,100.0
l_fold5_0.85,0.841044,0.040143,0.1,120.0
l_fold5_0.85,0.841283,0.03899,0.1,140.0
l_fold5_0.85,0.841114,0.038396,0.1,160.0
l_fold5_0.85,0.83934,0.038211,0.1,180.0
l_fold5_0.85,0.839537,0.03834,0.1,200.0
l_fold5_0.85,0.838903,0.037631,0.1,220.0
l_fold5_0.85,0.840804,0.040033,0.5,40.0
l_fold5_0.85,0.838959,0.038515,0.5,60.0
l_fold5_0.85,0.838776,0.037296,0.5,80.0
l_fold5_0.85,0.838903,0.036933,0.5,100.0
l_fold5_0.85,0.837607,0.037352,0.5,120.0
l_fold5_0.85,0.837748,0.03745,0.5,140.0
l_fold5_0.85,0.83703,0.037166,0.5,160.0
l_fold5_0.85,0.836959,0.037227,0.5,180.0
l_fold5_0.85,0.836889,0.037136,0.5,200.0
l_fold5_0.85,0.836509,0.037996,0.5,220.0
l_fold5_0.85,0.839326,0.030827,1.0,40.0
l_fold5_0.85,0.839509,0.030545,1.0,60.0
l_fold5_0.85,0.838636,0.03013,1.0,80.0
l_fold5_0.85,0.838762,0.029937,1.0,100.0
l_fold5_0.85,0.839255,0.03022,1.0,120.0
l_fold5_0.85,0.839241,0.030115,1.0,140.0
l_fold5_0.85,0.839157,0.029647,1.0,160.0
l_fold5_0.85,0.838678,0.02976,1.0,180.0
l_fold5_0.85,0.838974,0.029792,1.0,200.0
l_fold5_0.85,0.838593,0.029589,1.0,220.0
l_StratKFold_0.83,0.830537,0.04645,0.001,40.0
l_StratKFold_0.83,0.830762,0.046761,0.001,60.0
l_StratKFold_0.83,0.831199,0.047375,0.001,80.0
l_StratKFold_0.83,0.831311,0.047498,0.001,100.0
l_StratKFold_0.83,0.830466,0.046595,0.001,120.0
l_StratKFold_0.83,0.829523,0.047732,0.001,140.0
l_StratKFold_0.83,0.828706,0.046749,0.001,160.0
l_StratKFold_0.83,0.828157,0.046691,0.001,180.0
l_StratKFold_0.83,0.827495,0.047481,0.001,200.0
l_StratKFold_0.83,0.828255,0.047093,0.001,220.0
l_StratKFold_0.83,0.827495,0.047481,0.005,40.0
l_StratKFold_0.83,0.829959,0.045856,0.005,60.0
l_StratKFold_0.83,0.829311,0.046347,0.005,80.0
l_StratKFold_0.83,0.832142,0.046107,0.005,100.0
l_StratKFold_0.83,0.83103,0.04668,0.005,120.0
l_StratKFold_0.83,0.830452,0.04658,0.005,140.0
l_StratKFold_0.83,0.832579,0.048498,0.005,160.0
l_StratKFold_0.83,0.832325,0.047365,0.005,180.0
l_StratKFold_0.83,0.832241,0.045623,0.005,200.0
l_StratKFold_0.83,0.832466,0.046516,0.005,220.0
l_StratKFold_0.83,0.829466,0.046552,0.01,40.0
l_StratKFold_0.83,0.831311,0.046873,0.01,60.0
l_StratKFold_0.83,0.833044,0.048595,0.01,80.0
l_StratKFold_0.83,0.832382,0.045652,0.01,100.0
l_StratKFold_0.83,0.832494,0.045474,0.01,120.0
l_StratKFold_0.83,0.827635,0.04381,0.01,140.0
l_StratKFold_0.83,0.825551,0.044514,0.01,160.0
l_StratKFold_0.83,0.823241,0.044423,0.01,180.0
l_StratKFold_0.83,0.823903,0.043746,0.01,200.0
