way,acc_mean,acc_std,learning_rate,n_estimators
s_ts10_Nt40-400_0.81,0.80612,0.05188,0.005,80.0
s_ts10_Nt40-400_0.81,0.808615,0.051772,0.005,100.0
s_ts10_Nt40-400_0.81,0.812488,0.052786,0.005,120.0
s_ts10_Nt40-400_0.81,0.813232,0.053384,0.005,140.0
s_ts10_Nt40-400_0.81,0.813139,0.053447,0.005,160.0
s_ts10_Nt40-400_0.81,0.813279,0.053281,0.005,180.0
s_ts10_Nt40-400_0.81,0.811776,0.052095,0.005,200.0
s_ts10_Nt40-400_0.81,0.812953,0.049437,0.005,220.0
s_ts10_Nt40-400_0.81,0.811078,0.051481,0.005,240.0
s_ts10_Nt40-400_0.81,0.811357,0.051422,0.005,260.0
s_ts10_Nt40-400_0.81,0.810257,0.053124,0.005,280.0
s_ts10_Nt40-400_0.81,0.809312,0.05249,0.005,300.0
s_ts10_Nt40-400_0.81,0.808971,0.054085,0.005,320.0
s_ts10_Nt40-400_0.81,0.808429,0.053759,0.005,340.0
s_ts10_Nt40-400_0.81,0.80894,0.053692,0.005,360.0
s_ts10_Nt40-400_0.81,0.808042,0.053439,0.005,380.0
s_ts10_Nt40-400_0.81,0.806353,0.05211,0.01,40.0
s_ts10_Nt40-400_0.81,0.811698,0.0525,0.01,60.0
s_ts10_Nt40-400_0.81,0.812922,0.053328,0.01,80.0
s_ts10_Nt40-400_0.81,0.812209,0.052114,0.01,100.0
s_ts10_Nt40-400_0.81,0.810985,0.05156,0.01,120.0
s_ts10_Nt40-400_0.81,0.80956,0.052976,0.01,140.0
s_ts10_Nt40-400_0.81,0.808646,0.054026,0.01,160.0
s_ts10_Nt40-400_0.81,0.808073,0.053803,0.01,180.0
s_ts10_Nt40-400_0.81,0.807143,0.053717,0.01,200.0
s_ts10_Nt40-400_0.81,0.80846,0.053889,0.01,220.0
s_ts10_Nt40-400_0.81,0.808956,0.053992,0.01,240.0
s_ts10_Nt40-400_0.81,0.809126,0.054037,0.01,260.0
s_ts10_Nt40-400_0.81,0.808925,0.052815,0.01,280.0
s_ts10_Nt40-400_0.81,0.808987,0.052993,0.01,300.0
