way,acc_mean,acc_std,learning_rate,n_estimators,num_leaves
tf5_0.844,0.814062,0.043009,0.05,80.0,250.0
tf5_0.844,0.834345,0.05039,0.05,100.0,31.0
tf5_0.844,0.838249,0.053622,0.05,100.0,50.0
tf5_0.844,0.827144,0.046928,0.05,100.0,100.0
tf5_0.844,0.818947,0.041185,0.05,100.0,150.0
tf5_0.844,0.822378,0.040778,0.05,100.0,200.0
tf5_0.844,0.820688,0.040109,0.05,100.0,250.0
tf5_0.844,0.834615,0.051152,0.05,120.0,31.0
tf5_0.844,0.839973,0.051527,0.05,120.0,50.0
tf5_0.844,0.830863,0.049861,0.05,120.0,100.0
tf5_0.844,0.819201,0.042915,0.05,120.0,150.0
tf5_0.844,0.826333,0.049162,0.05,120.0,200.0
tf5_0.844,0.828716,0.048564,0.05,120.0,250.0
tf5_0.844,0.834378,0.049914,0.05,140.0,31.0
tf5_0.844,0.841832,0.048745,0.05,140.0,50.0
tf5_0.844,0.832333,0.05026,0.05,140.0,100.0
tf5_0.844,0.831623,0.050443,0.05,140.0,150.0
tf5_0.844,0.828125,0.048596,0.05,140.0,200.0
tf5_0.844,0.828446,0.048636,0.05,140.0,250.0
tf5_0.844,0.832722,0.047604,0.05,160.0,31.0
tf5_0.844,0.84239,0.048634,0.05,160.0,50.0
tf5_0.844,0.833466,0.048755,0.05,160.0,100.0
tf5_0.844,0.834936,0.049591,0.05,160.0,150.0
tf5_0.844,0.835528,0.049276,0.05,160.0,200.0
tf5_0.844,0.831978,0.048199,0.05,160.0,250.0
tf5_0.844,0.834852,0.046922,0.05,180.0,31.0
tf5_0.844,0.842373,0.04701,0.05,180.0,50.0
tf5_0.844,0.83284,0.0493,0.05,180.0,100.0
tf5_0.844,0.836542,0.052006,0.05,180.0,150.0
tf5_0.844,0.837708,0.052067,0.05,180.0,200.0
tf5_0.844,0.834497,0.04988,0.05,180.0,250.0
tf5_0.844,0.835747,0.047026,0.05,200.0,31.0
tf5_0.844,0.841122,0.045587,0.05,200.0,50.0
tf5_0.844,0.836204,0.051416,0.05,200.0,100.0
tf5_0.844,0.837742,0.053803,0.05,200.0,150.0
tf5_0.844,0.839415,0.053437,0.05,200.0,200.0
tf5_0.844,0.835629,0.052199,0.05,200.0,250.0
tf5_0.844,0.838097,0.047943,0.05,220.0,31.0
tf5_0.844,0.84075,0.044686,0.05,220.0,50.0
tf5_0.844,0.836779,0.052135,0.05,220.0,100.0
tf5_0.844,0.838198,0.055553,0.05,220.0,150.0
tf5_0.844,0.841714,0.054961,0.05,220.0,200.0
tf5_0.844,0.837556,0.054318,0.05,220.0,250.0
tf5_0.844,0.834328,0.054252,0.1,40.0,31.0
tf5_0.844,0.835139,0.052034,0.1,40.0,50.0
tf5_0.844,0.818339,0.042512,0.1,40.0,100.0
tf5_0.844,0.818981,0.042293,0.1,40.0,150.0
tf5_0.844,0.816682,0.04274,0.1,40.0,200.0
