way,acc_mean,acc_std,learning_rate,n_estimators,num_leaves
short_tf5_0.838,0.798293,0.040168,0.5,120.0,100.0
short_tf5_0.838,0.820096,0.028185,0.5,120.0,150.0
short_tf5_0.838,0.818339,0.026264,0.5,120.0,200.0
short_tf5_0.838,0.823882,0.023834,0.5,120.0,250.0
short_tf5_0.838,0.825623,0.014977,0.5,140.0,31.0
short_tf5_0.838,0.817831,0.029463,0.5,140.0,50.0
short_tf5_0.838,0.798462,0.039923,0.5,140.0,100.0
short_tf5_0.838,0.819488,0.028536,0.5,140.0,150.0
short_tf5_0.838,0.81817,0.025606,0.5,140.0,200.0
short_tf5_0.838,0.823646,0.023804,0.5,140.0,250.0
short_tf5_0.838,0.824592,0.015477,0.5,160.0,31.0
short_tf5_0.838,0.790991,0.065966,0.5,160.0,50.0
short_tf5_0.838,0.798766,0.039968,0.5,160.0,100.0
short_tf5_0.838,0.819048,0.028662,0.5,160.0,150.0
short_tf5_0.838,0.81844,0.02604,0.5,160.0,200.0
short_tf5_0.838,0.823815,0.024095,0.5,160.0,250.0
short_tf5_0.838,0.825049,0.01502,0.5,180.0,31.0
short_tf5_0.838,0.787966,0.064522,0.5,180.0,50.0
short_tf5_0.838,0.798732,0.040044,0.5,180.0,100.0
short_tf5_0.838,0.818727,0.02892,0.5,180.0,150.0
short_tf5_0.838,0.818846,0.026034,0.5,180.0,200.0
short_tf5_0.838,0.823849,0.024273,0.5,180.0,250.0
short_tf5_0.838,0.828716,0.015965,0.5,200.0,31.0
short_tf5_0.838,0.785059,0.063431,0.5,200.0,50.0
short_tf5_0.838,0.799206,0.039988,0.5,200.0,100.0
short_tf5_0.838,0.81915,0.029188,0.5,200.0,150.0
short_tf5_0.838,0.818846,0.026305,0.5,200.0,200.0
short_tf5_0.838,0.82368,0.024121,0.5,200.0,250.0
short_tf5_0.838,0.824896,0.015563,0.5,220.0,31.0
short_tf5_0.838,0.786969,0.064375,0.5,220.0,50.0
short_tf5_0.838,0.798969,0.04013,0.5,220.0,100.0
short_tf5_0.838,0.818575,0.029082,0.5,220.0,150.0
short_tf5_0.838,0.818406,0.025832,0.5,220.0,200.0
short_tf5_0.838,0.823342,0.024393,0.5,220.0,250.0
short_tf5_0.838,0.767244,0.044876,1.0,40.0,31.0
short_tf5_0.838,0.809414,0.042254,1.0,40.0,50.0
short_tf5_0.838,0.802299,0.030515,1.0,40.0,100.0
short_tf5_0.838,0.743041,0.091344,1.0,40.0,150.0
short_tf5_0.838,0.76525,0.07368,1.0,40.0,200.0
short_tf5_0.838,0.786614,0.0615,1.0,40.0,250.0
short_tf5_0.838,0.774529,0.045896,1.0,60.0,31.0
short_tf5_0.838,0.797921,0.039784,1.0,60.0,50.0
short_tf5_0.838,0.796484,0.035859,1.0,60.0,100.0
short_tf5_0.838,0.744224,0.091696,1.0,60.0,150.0
short_tf5_0.838,0.764743,0.073177,1.0,60.0,200.0
short_tf5_0.838,0.786445,0.06142,1.0,60.0,250.0
short_tf5_0.838,0.781137,0.046156,1.0,80.0,31.0
short_tf5_0.838,0.785498,0.063763,1.0,80.0,50.0
short_tf5_0.838,0.79542,0.044683,1.0,80.0,100.0
short_tf5_0.838,0.744342,0.091883,1.0,80.0,150.0
short_tf5_0.838,0.765486,0.073726,1.0,80.0,200.0
short_tf5_0.838,0.787155,0.061775,1.0,80.0,250.0
short_tf5_0.838,0.768275,0.0597,1.0,100.0,31.0
short_tf5_0.838,0.78183,0.063728,1.0,100.0,50.0
short_tf5_0.838,0.797127,0.042662,1.0,100.0,100.0
short_tf5_0.838,0.744291,0.091785,1.0,100.0,150.0
short_tf5_0.838,0.765047,0.073365,1.0,100.0,200.0
short_tf5_0.838,0.787019,0.06168,1.0,100.0,250.0
short_tf5_0.838,0.764776,0.057155,1.0,120.0,31.0
short_tf5_0.838,0.781036,0.060623,1.0,120.0,50.0
short_tf5_0.838,0.796755,0.04246,1.0,120.0,100.0
short_tf5_0.838,0.744089,0.091638,1.0,120.0,150.0
short_tf5_0.838,0.764793,0.073282,1.0,120.0,200.0
short_tf5_0.838,0.786817,0.061566,1.0,120.0,250.0
short_tf5_0.838,0.767988,0.059602,1.0,140.0,31.0
short_tf5_0.838,0.778315,0.064344,1.0,140.0,50.0
short_tf5_0.838,0.796129,0.042135,1.0,140.0,100.0
short_tf5_0.838,0.743936,0.091515,1.0,140.0,150.0
short_tf5_0.838,0.765351,0.073534,1.0,140.0,200.0
short_tf5_0.838,0.786884,0.061627,1.0,140.0,250.0
short_tf5_0.838,0.764675,0.056959,1.0,160.0,31.0
short_tf5_0.838,0.775915,0.063846,1.0,160.0,50.0
short_tf5_0.838,0.79591,0.041978,1.0,160.0,100.0
short_tf5_0.838,0.743987,0.091531,1.0,160.0,150.0
short_tf5_0.838,0.765368,0.073632,1.0,160.0,200.0
short_tf5_0.838,0.786732,0.061507,1.0,160.0,250.0
short_tf5_0.838,0.758371,0.054409,1.0,180.0,31.0
short_tf5_0.838,0.77365,0.061791,1.0,180.0,50.0
short_tf5_0.838,0.795893,0.042017,1.0,180.0,100.0
short_tf5_0.838,0.743886,0.091439,1.0,180.0,150.0
short_tf5_0.838,0.76525,0.073575,1.0,180.0,200.0
short_tf5_0.838,0.786817,0.061564,1.0,180.0,250.0
short_tf5_0.838,0.765605,0.059037,1.0,200.0,31.0
short_tf5_0.838,0.790484,0.055179,1.0,200.0,50.0
short_tf5_0.838,0.795994,0.04213,1.0,200.0,100.0
short_tf5_0.838,0.744072,0.09158,1.0,200.0,150.0
short_tf5_0.838,0.764996,0.073389,1.0,200.0,200.0
short_tf5_0.838,0.786681,0.061467,1.0,200.0,250.0
short_tf5_0.838,0.750359,0.051721,1.0,220.0,31.0
short_tf5_0.838,0.790636,0.0552,1.0,220.0,50.0
short_tf5_0.838,0.796214,0.042332,1.0,220.0,100.0
short_tf5_0.838,0.74419,0.091685,1.0,220.0,150.0
short_tf5_0.838,0.765317,0.073494,1.0,220.0,200.0
short_tf5_0.838,0.786631,0.061406,1.0,220.0,250.0
short_kf5 0.85,0.645526,0.047743,0.001,40.0,31.0
short_kf5 0.85,0.645526,0.047743,0.001,40.0,50.0
short_kf5 0.85,0.645526,0.047743,0.001,40.0,100.0
short_kf5 0.85,0.645526,0.047743,0.001,40.0,150.0
short_kf5 0.85,0.645526,0.047743,0.001,40.0,200.0
short_kf5 0.85,0.645526,0.047743,0.001,40.0,250.0
short_kf5 0.85,0.645526,0.047743,0.001,60.0,31.0
short_kf5 0.85,0.645526,0.047743,0.001,60.0,50.0
short_kf5 0.85,0.645526,0.047743,0.001,60.0,100.0
short_kf5 0.85,0.645526,0.047743,0.001,60.0,150.0
short_kf5 0.85,0.645526,0.047743,0.001,60.0,200.0
short_kf5 0.85,0.645526,0.047743,0.001,60.0,250.0
short_kf5 0.85,0.645526,0.047743,0.001,80.0,31.0
